page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
6,1,26,10,East Bay Comm Action,,750,750,0.00%,750,
6,1,27,11,Preservation Coalition,,"1,000","1,000",0.00%,"1,000",
6,1,28,12,Eastern RI Cons. District,,"1,000","1,500",50.00%,"1,500",
6,1,29,16,Stay at Home in LC,,0,"11,900",100.00%,"11,900",
6,1,30,6,350th funding request,,"15,000","15,000",0.00%,"15,000",
6,1,31,7,Police/Fire Detail/350th,,0,"31,000",100.00%,"31,000",
6,1,32,13,Wildlife Clinic,,0,"1,078",100.00%,"1,078",
6,1,33,"42,750 100,228 134.45% 100,228",,,"42,750 100,228 134.45% 100,228",,,,
6,1,34,Article,Debt Service,,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,
6,1,35,37,Capital Borrowing-Town,,"236,114","232,260",1.63%,"232,260",
6,1,36,26,Bond Debt-School,,"852,588","652,000",-23.53%,"652,000",
6,1,37,"1,088,702 884,260 -18.78% $884,260 TOTAL BUDGET 17,698,722 18,931,154 6.96% $18,346,633",,,"1,088,702 884,260 -18.78% $884,260",,,,
6,1,38,Comparison,,,,LC Budget Committee Recommended Budget,,,
6,1,39,Proposed FY 2026 Budget,,,"18,931,154",Recommended Budget,,"18,346,633",
6,1,40,FTM FY 2025 Budget,,,"17,698,722",INCREASE $,,"647,911",
6,1,41,INCREASE $,,,"1,232,432",% Increase,,3.66%,
6,1,42,% Increase is 6.96%,,,6.963395436,,,,
6,1,43,6,,,,,,,
6,2,1,TOTAL BUDGET,,"17,698,722","18,931,154",6.96%,"$18,346,633",,
