page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
1,1,1,MUNICIPALITY NOTES RRE COMM PP MV,,,,,,,
1,1,2,BARRINGTON,6 $15.34 $15.34 $15.34 $0.00,,,,,,
1,1,3,"BRISTOL 2, 6 10.61 10.61 13.36 0.00",,,,,,,
1,1,4,"BURRILLVILLE 2, 6 11.90 11.90 14.39 0.00",,,,,,,
1,1,5,"CENTRAL FALLS 2, 6 13.21 21.75 38.33 0.00",,,,,,,
1,1,6,CHARLESTOWN 6 5.93 5.93 5.74 0.00,,,,,,,
1,1,7,COVENTRY 6 16.09 22.61 20.65 0.00,,,,,,,
1,1,8,CRANSTON 13.88 20.82,,,28.35,0.00,,,
1,1,9,"CUMBERLAND 1, 6 12.27 12.27 30.88 0.00",,,,,,,
1,1,10,EAST GREENWICH 15.57 27.00 45.50 0.00,,,,,,,
1,1,11,"EAST PROVIDENCE 1,2, 6 13.07 20.63 56.81 0.00",,,,,,,
1,1,12,EXETER 6 11.75 11.75 11.75 0.00,,,,,,,
1,1,13,FOSTER 6 21.52 21.52 31.12 0.00,,,,,,,
1,1,14,GLOCESTER 6 14.26 17.11 28.50 0.00,,,,,,,
1,1,15,HOPKINTON 6 15.29 15.29 14.66 0.00,,,,,,,
1,1,16,"JAMESTOWN 2, 6 5.64 5.64 6.98 0.00",,,,,,,
1,1,17,JOHNSTON 6 15.62 27.98 64.65 0.00,,,,,,,
1,1,18,"LINCOLN 2, 6 13.52 23.99 30.07 0.00",,,,,,,
1,1,19,"LITTLE COMPTON 2, 6 4.79 4.79 9.92 0.00",,,,,,,
1,1,20,MIDDLETOWN,6 9.06 13.59 18.70 0.00,,,,,,
1,1,21,NARRAGANSETT 6 6.79 9.17 9.17 0.00,,,,,,,
1,1,22,NEW SHOREHAM,6 5.76 5.76 6.02 0.00,,,,,,
1,1,23,NEWPORT 6 8.69 10.77 14.88 0.00,,,,,,,
1,1,24,NORTH KINGSTOWN 2 11.04 14.79 17.85 0.00,,,,,,,
1,1,25,NORTH PROVIDENCE 6 17.58 24.32 58.58 0.00,,,,,,,
1,1,26,NORTH SMITHFIELD,"2, 6 11.50 16.94 43.63 0.00",,,,,,
1,1,27,PAWTUCKET 8 13.15 23.01 52.09 0.00,,,,,,,
1,1,28,PORTSMOUTH 6 13.28 13.28 15.65 0.00,,,,,,,
1,1,29,"PROVIDENCE 2, 5 8.40 29.20 53.40 0.00",,,,,,,
1,1,30,RICHMOND,6 14.67 14.67 14.76 0.00,,,,,,
1,1,31,"SCITUATE 2, 6 13.91 20.79 35.69 0.00",,,,,,,
1,1,32,"SMITHFIELD 2, 6 12.39 18.58 59.74 0.00",,,,,,,
1,1,33,SOUTH KINGSTOWN 2 8.94 8.94 11.05 0.00,,,,,,,
1,1,34,TIVERTON,6 11.33 11.33 11.33 0.00,,,,,,
1,1,35,WARREN 6 14.89 14.89 18.01 0.00,,,,,,,
1,1,36,WARWICK 2 12.70 23.99 37.46 0.00,,,,,,,
1,1,37,WEST GREENWICH 3 16.00 23.75 34.80 0.00,,,,,,,
1,1,38,"WEST WARWICK 2, 4, 6 14.29",,22.62,46.99 0.00,,,,
1,1,39,"WESTERLY 2, 6 7.11 7.11 11.59 0.00",,,,,,,
1,1,40,"WOONSOCKET 2, 6 11.23 21.30 46.58 0.00",,,,,,,
