page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
30,1,3,"$ 18,000 $ 16,000 $ 96,516 $ - $ 25,000 $ 6 93,688 $ 46,819 $ 63,360 $ 15,000 $ 43,000 $ 11,500 $ 13,926 $ - $ - $ 21,120 $ 12,000 $ 16,800 $ 2,500 $ 22,000 $ - $ 5,000 $ 25,000 $ 1,147,229 $ 103,015 $ 242,361 $ 8,149 $ 71,000 $ - $ - $ 1,768 $ 4 26,293 $ 1,573,522",,,,,,,
30,2,1,REVISED BUDGET,,,,,,,
30,2,2,FY2026,,,,,,,
30,2,3,"$ 1 8,000 $ 3 3,000 $ 101,500 $ - $ 2 5,000 $ 834,113 $ 5 8,632 $ 7 3,935 $ 1 5,000 $ 6 5,000 $ 1 1,500 $ 1 6,069 $ 6 ,090 $ - $ 2 5,800 $ 1 2,000 $ 1 9,000 $ 2,500 $ 2 5,000 $ - $ 6,000 $ 2 5,000 $ 1 ,373,139 $ 103,015 $ 256,903 $ 8,149 $ 9 2,478 $ - $ - $ 1,768 $ 462,313 $ 1 ,835,452",,,,,,,
31,1,1,REVISED BUDGET FY2025,,,,,,,
31,1,2,"$ 15,000.00 $ 6 9,500.00 $ - $ 4 3,007.00 $ 2,366.00 $ - $ 7,000.00 $ 2,000.00 $ - $ 1 38,873.00 $ 11,428.00 $ 53,202.00 $ 1,570.00 $ - $ 8,800.00 $ - $ - $ 9 6.00 $ 7 5,096.00 $ 2 13,969.00",,,,,,,
32,1,1,,REVISED BUDGET FY2025,,,,,,
32,1,2,,"$ 6 9,500 $ - $ -",,,,,,
32,1,3,"1001565/7011 Clerk Salary $ 3 9,371 $ 4 0,158","$ 4 3,007","$ 4 4,299",,,,,
32,1,4,,"$ - $ - $ 6,000 $ 2,500 $ 4,000 $ - $ 6,000 $ 131,007",,"$ 2,000",,,,
32,1,5,,,,"$ 2,000",,,,
42,1,1,REVISED BUDGET,,,,,,,
42,1,2,FY2025,,,,,,,
42,1,3,"$ 140,000 $ 23,428 $ 45,346 $ 9,317 $ 114,842",,,,,,,
42,2,1,REVISED BUDGET,,,,,,,
42,2,2,FY2026,,,,,,,
42,2,3,"$ 140,000 $ 2 3,428 $ 4 5,346 $ - $ 114,842 $ 183,616",,,,,,,
44,1,1,,,,,,,,
44,1,2,,Town of Little Compton Analysis of Fund Balance Fiscal years 2024 and 2023 Audited,,,,,,
44,1,3,,,,,,,,
